liberica-11.0.11+9	bellsoft-jdk11.0.11+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.11+9/bellsoft-jdk11.0.11+9-windows-aarch64.zip	a715baf1c8eb5688ef8326a52106516c2f27c424654d97761842d5705e9a2e09
liberica-11.0.12+7	bellsoft-jdk11.0.12+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.12+7/bellsoft-jdk11.0.12+7-windows-aarch64.zip	35781d57b9bd9e369a6a1ab50e112a625a429224d88fa5b233cb7b359f2a0ea4
liberica-11.0.13+8	bellsoft-jdk11.0.13+8-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.13+8/bellsoft-jdk11.0.13+8-windows-aarch64.zip	16f354d6418a2f5cdca481612aa8bf39668e44ac83b70ac84d89978dd5f80f44
liberica-11.0.14+9	bellsoft-jdk11.0.14+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.14+9/bellsoft-jdk11.0.14+9-windows-aarch64.zip	75d04b65224df2758896403c723722cf38aace1b937c2fe214f9067432ba517e
liberica-11.0.14.1+1	bellsoft-jdk11.0.14.1+1-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.14.1+1/bellsoft-jdk11.0.14.1+1-windows-aarch64.zip	8754db0f9595afce08be30ab30d9d25c51c92a3dbf0afb25fd9740c565c70213
liberica-11.0.15+10	bellsoft-jdk11.0.15+10-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.15+10/bellsoft-jdk11.0.15+10-windows-aarch64.zip	5670a5339fd3fd6e0a70adfd1302c1d445f4a8dddbad4322998ab508ade551f5
liberica-11.0.15.1+2	bellsoft-jdk11.0.15.1+2-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.15.1+2/bellsoft-jdk11.0.15.1+2-windows-aarch64.zip	55f29d60b9139f1e88cb93b40bcb1e972447b1928e6abef573d460f680c2074c
liberica-11.0.16+8	bellsoft-jdk11.0.16+8-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.16+8/bellsoft-jdk11.0.16+8-windows-aarch64.zip	d19a83b5c22aa3387b1698827042537eb38ae9ba07920a934925a6b0ae691bc8
liberica-11.0.16.1+1	bellsoft-jdk11.0.16.1+1-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.16.1+1/bellsoft-jdk11.0.16.1+1-windows-aarch64.zip	0f66a4822d3970ffd8e0edf1d295c8ad09c78bd3e5cddd70cb3165f72bdb16b5
liberica-11.0.17+7	bellsoft-jdk11.0.17+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.17+7/bellsoft-jdk11.0.17+7-windows-aarch64.zip	ebf36215e98a22acb6a07e46b5a1478f9bb61a9356bf6a53793dc2e258c63929
liberica-11.0.18+10	bellsoft-jdk11.0.18+10-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.18+10/bellsoft-jdk11.0.18+10-windows-aarch64.zip	421eef4131355153d7ae346fe9be7a5063d2a6bd2b2bc947ecbe31131f622a06
liberica-11.0.19+7	bellsoft-jdk11.0.19+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/11.0.19+7/bellsoft-jdk11.0.19+7-windows-aarch64.zip	6e0721995c22067295529fc084a23697f44156dcfbd6956a477a397e33e98667
liberica-16.0.1+9	bellsoft-jdk16.0.1+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.1+9/bellsoft-jdk16.0.1+9-windows-aarch64.zip	32653ae2ae25ab457ab486bd03b92e75591c03b3cde53b2dae4cef34a30fb5d6
liberica-16.0.2+7	bellsoft-jdk16.0.2+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/16.0.2+7/bellsoft-jdk16.0.2+7-windows-aarch64.zip	dc7e1a50ee289c50aa671be39bc233be6d900712b7d138c7c048f905ae0b4a9f
liberica-17+35	bellsoft-jdk17+35-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/17+35/bellsoft-jdk17+35-windows-aarch64.zip	84149f1fca03d5ac7a8771055187abd0e7abc0fa35eec5836d1fef6c3c38274f
liberica-17.0.1+12	bellsoft-jdk17.0.1+12-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/17.0.1+12/bellsoft-jdk17.0.1+12-windows-aarch64.zip	136d0d010eaba77616bac0b640a0b57a2dec2fb4adee64e43e4f260441775ec0
liberica-17.0.2+9	bellsoft-jdk17.0.2+9-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/17.0.2+9/bellsoft-jdk17.0.2+9-windows-aarch64.zip	cc56737f4b85d6e0fba3936372e7833005e4f2c0b84133e423dbaa424dde3afb
liberica-17.0.3+7	bellsoft-jdk17.0.3+7-windows-aarch64.zip	https://github.com/bell-sw/Liberica/releases/download/17.0.3+7/bellsoft-jdk17.0.3+7-windows-aarch64.zip	1f8093ee9edf54cca594e50b85355ec1775125eab518a3cc24e5d76cdecff50c
